Name,Ranking,NumberOfWins,NumberOfDraws,NumberOfLosses,Points,stadiumName
Manchester City,1,27,5,6,86,Etihad Stadium
Manchester United,2,21,11,6,74,Old Trafford
Liverpool FC,3,20,9,9,69,Anfield Stadium
Chelsea,4,19,10,9,67,Stamford Bridge
Leicester City,5,20,6,12,66,King Power Stadium
West Ham United,6,19,8,11,65,London Stadium
Tottenham Hotspur,7,18,8,12,62,Tottenham Hotspur Stadium
Arsenal,8,18,7,13,61,Emirates Stadium
Leeds United,9,18,5,15,59,Elland Road
Everton,10,17,8,13,59,Goodison Park
Aston Villa,11,16,7,15,55,Villa Park
Newcastle United,12,12,9,17,45,St James' Park
Wolverhampton Wanderers,13,12,9,17,45,Molineux Stadium
Crystal Palace,14,12,8,18,44,Selhurst Park
Southampton,15,12,7,19,43,Saint Mary's Stadium
Brighton,16,9,14,15,41,Amex Stadium
Burnley,17,10,9,19,39,Turf Moor
Fulham,18,5,13,20,28,Craven Cottage
West Bromwich Albion,19,5,11,22,26,The Hawthorns
Sheffield United,20,7,2,29,23,Bramall Lane
